app,time,tot_time
com.outfit7.talkingnewsfree,3336,0
com.pinterest,3353,0
tv.twitch.android.app,3428,0
kjv.bible.kingjamesbible,3427,0
com.tinder,3590,0
com.expedia.bookings,3348,0
com.indeed.android.jobsearch,3336,0
com.contextlogic.wish,3405,0
com.alibaba.intl.android.apps.poseidon,3447,0
com.meditation.deepsleep.relax,3415,0
me.lyft.android,3687,0
com.yahoo.mobile.client.android.mail,3361,0
com.linkedin.android,3366,0
com.yahoo.mobile.client.android.finance,3506,0
tv.pluto.android,3747,0
com.gamma.scan,3462,0
org.telegram.messenger.web,3669,0
com.whatsapp,3472,0
com.instagram.android,3451,0
com.facebook.orca,3798,0
com.zzkko,3347,0
com.disney.disneyplus,3457,0
com.snapchat.android,3388,0
com.facebook.lite,3337,0
com.ubercab,3772,0
com.mcdonalds.mobileapp,3287,0
com.netflix.mediaclient,3911,0
com.discord,3307,0
com.duolingo,3346,0
com.ebay.mobile,3396,0
com.outfit7.talkingnewsfree,3383,0
com.pinterest,3378,0
tv.twitch.android.app,3359,0
kjv.bible.kingjamesbible,3363,0
com.tinder,3335,0
com.expedia.bookings,3389,0
com.indeed.android.jobsearch,3423,0
com.contextlogic.wish,3358,0
com.alibaba.intl.android.apps.poseidon,3443,0
com.meditation.deepsleep.relax,3366,0
me.lyft.android,3312,0
com.yahoo.mobile.client.android.mail,3504,0
com.linkedin.android,3322,0
com.yahoo.mobile.client.android.finance,3535,0
tv.pluto.android,3383,0
com.gamma.scan,3297,0
org.telegram.messenger.web,3365,0
com.whatsapp,3633,0
com.instagram.android,3426,0
com.facebook.orca,3664,0
com.zzkko,3339,0
com.disney.disneyplus,3341,0
com.snapchat.android,3419,0
com.facebook.lite,3446,0
com.ubercab,3381,0
com.mcdonalds.mobileapp,3334,0
com.netflix.mediaclient,3378,0
com.discord,3342,0
com.duolingo,3394,0
com.ebay.mobile,3547,0
com.outfit7.talkingnewsfree,3292,0
com.pinterest,3323,0
tv.twitch.android.app,3318,0
kjv.bible.kingjamesbible,3373,0
com.tinder,3556,0
com.expedia.bookings,3402,0
com.indeed.android.jobsearch,3317,0
com.contextlogic.wish,3423,0
com.alibaba.intl.android.apps.poseidon,3575,0
com.meditation.deepsleep.relax,3424,0
me.lyft.android,3382,0
com.yahoo.mobile.client.android.mail,3373,0
com.linkedin.android,3436,0
com.yahoo.mobile.client.android.finance,3446,0
tv.pluto.android,3306,0
com.gamma.scan,3735,0
org.telegram.messenger.web,3331,0
com.whatsapp,3618,0
com.instagram.android,3450,0
com.facebook.orca,3606,0
com.zzkko,3598,0
com.disney.disneyplus,3402,0
com.snapchat.android,3374,0
com.facebook.lite,3456,0
com.ubercab,3373,0
com.mcdonalds.mobileapp,3351,0
com.netflix.mediaclient,3482,0
com.discord,3428,0
com.duolingo,3352,0
com.ebay.mobile,3455,0
com.outfit7.talkingnewsfree,3351,0
com.pinterest,3396,0
tv.twitch.android.app,3474,0
kjv.bible.kingjamesbible,3463,0
com.tinder,3334,0
com.expedia.bookings,3361,0
com.indeed.android.jobsearch,3299,0
com.contextlogic.wish,3350,0
com.alibaba.intl.android.apps.poseidon,3680,0
com.meditation.deepsleep.relax,3350,0
me.lyft.android,3351,0
com.yahoo.mobile.client.android.mail,3383,0
com.linkedin.android,3402,0
com.yahoo.mobile.client.android.finance,3432,0
tv.pluto.android,3376,0
com.gamma.scan,3257,0
org.telegram.messenger.web,3549,0
com.whatsapp,3470,0
com.instagram.android,3725,0
com.facebook.orca,3654,0
com.zzkko,3730,0
com.disney.disneyplus,3305,0
com.snapchat.android,3381,0
com.facebook.lite,3374,0
com.ubercab,3455,0
com.mcdonalds.mobileapp,3318,0
com.netflix.mediaclient,3298,0
com.discord,3399,0
com.duolingo,3341,0
com.ebay.mobile,3441,0
com.outfit7.talkingnewsfree,3457,0
com.pinterest,3363,0
tv.twitch.android.app,3396,0
kjv.bible.kingjamesbible,3352,0
com.tinder,3406,0
com.expedia.bookings,3401,0
com.indeed.android.jobsearch,3431,0
com.contextlogic.wish,3369,0
com.alibaba.intl.android.apps.poseidon,3518,0
com.meditation.deepsleep.relax,3439,0
me.lyft.android,3292,0
com.yahoo.mobile.client.android.mail,3609,0
com.linkedin.android,3457,0
com.yahoo.mobile.client.android.finance,3402,0
tv.pluto.android,3366,0
com.gamma.scan,3275,0
org.telegram.messenger.web,3378,0
com.whatsapp,3729,0
com.instagram.android,3493,0
com.facebook.orca,3746,0
com.zzkko,3378,0
com.disney.disneyplus,3353,0
com.snapchat.android,3347,0
com.facebook.lite,3546,0
com.ubercab,3594,0
com.mcdonalds.mobileapp,3305,0
com.netflix.mediaclient,3346,0
com.discord,3710,0
com.duolingo,3346,0
com.ebay.mobile,3413,0
com.outfit7.talkingnewsfree,3396,0
com.pinterest,3344,0
tv.twitch.android.app,3313,0
kjv.bible.kingjamesbible,3749,0
com.tinder,3362,0
com.expedia.bookings,3599,0
com.indeed.android.jobsearch,3325,0
com.contextlogic.wish,3360,0
com.alibaba.intl.android.apps.poseidon,3432,0
com.meditation.deepsleep.relax,3537,0
me.lyft.android,3361,0
com.yahoo.mobile.client.android.mail,3377,0
com.linkedin.android,3368,0
com.yahoo.mobile.client.android.finance,3375,0
tv.pluto.android,3336,0
com.gamma.scan,3392,0
org.telegram.messenger.web,3332,0
com.whatsapp,3431,0
com.instagram.android,3515,0
com.facebook.orca,3643,0
com.zzkko,3398,0
com.disney.disneyplus,3306,0
com.snapchat.android,3356,0
com.facebook.lite,3432,0
com.ubercab,3326,0
com.mcdonalds.mobileapp,3283,0
com.netflix.mediaclient,3597,0
com.discord,3376,0
com.duolingo,3628,0
com.ebay.mobile,3408,0
com.outfit7.talkingnewsfree,3317,0
com.pinterest,3336,0
tv.twitch.android.app,3504,0
kjv.bible.kingjamesbible,3396,0
com.tinder,3489,0
com.expedia.bookings,3395,0
com.indeed.android.jobsearch,3534,0
com.contextlogic.wish,3363,0
com.alibaba.intl.android.apps.poseidon,3447,0
com.meditation.deepsleep.relax,3393,0
me.lyft.android,3367,0
com.yahoo.mobile.client.android.mail,3383,0
com.linkedin.android,3480,0
com.yahoo.mobile.client.android.finance,3407,0
tv.pluto.android,3320,0
com.gamma.scan,3448,0
org.telegram.messenger.web,3362,0
com.whatsapp,3480,0
com.instagram.android,3634,0
com.facebook.orca,3697,0
com.zzkko,3795,0
com.disney.disneyplus,3368,0
com.snapchat.android,3383,0
com.facebook.lite,3500,0
com.ubercab,3502,0
com.mcdonalds.mobileapp,4023,0
com.netflix.mediaclient,3374,0
com.discord,3284,0
